"DATE ","EXPIRY DATE ","OPTION TYPE ","STRIKE PRICE ","OPEN PRICE ","HIGH PRICE ","LOW PRICE ","CLOSE PRICE ","LAST PRICE ","SETTLE PRICE ","Volume ","VALUE ","PREMIUM VALUE ","OPEN INTEREST ","CHANGE IN OPEN INTEREST "
"15-SEP-2025","26-SEP-2025","FF","-","88.30","88.37","88.18","88.24","88.23","88.24","1,39,676","12,32,89,12,375.0000","12,32,89,12,375.0000","12,47,282","-1,519"
"12-SEP-2025","26-SEP-2025","FF","-","88.30","88.50","88.28","88.32","88.33","88.32","88,687","7,83,65,05,542.5000","7,83,65,05,542.5000","12,48,801","2,240"
"11-SEP-2025","26-SEP-2025","FF","-","88.25","88.55","88.18","88.50","88.50","88.50","1,99,405","17,62,68,10,347.5000","17,62,68,10,347.5000","12,46,561","-3,795"
"10-SEP-2025","26-SEP-2025","FF","-","88.22","88.27","88.13","88.20","88.19","88.20","1,15,299","10,16,84,50,427.5000","10,16,84,50,427.5000","12,50,356","-14,063"
"09-SEP-2025","26-SEP-2025","FF","-","88.20","88.26","88.01","88.23","88.23","88.23","1,78,784","15,76,24,97,702.5000","15,76,24,97,702.5000","12,64,419","-13,535"
"05-SEP-2025","26-SEP-2025","FF","-","88.10","88.45","88.10","88.33","88.33","88.33","4,62,195","40,83,84,30,875.0000","40,83,84,30,875.0000","12,77,954","1,21,459"
"04-SEP-2025","26-SEP-2025","FF","-","88.11","88.27","88.06","88.22","88.20","88.22","1,55,835","13,74,13,64,690.0000","13,74,13,64,690.0000","11,56,495","34,009"
"03-SEP-2025","26-SEP-2025","FF","-","88.27","88.40","88.07","88.14","88.14","88.14","98,020","8,64,23,72,125.0000","8,64,23,72,125.0000","11,22,486","-1,292"
"02-SEP-2025","26-SEP-2025","FF","-","88.30","88.30","87.93","88.26","88.26","88.26","1,97,772","17,43,45,52,347.5000","17,43,45,52,347.5000","11,23,778","-11,527"
"01-SEP-2025","26-SEP-2025","FF","-","88.20","88.42","88.20","88.32","88.30","88.32","5,02,973","44,44,11,76,660.0000","44,44,11,76,660.0000","11,35,305","2,24,901"
"29-AUG-2025","26-SEP-2025","FF","-","87.78","88.42","87.78","88.30","88.34","88.30","6,90,991","60,90,05,86,197.5000","60,90,05,86,197.5000","9,10,404","2,24,860"
"28-AUG-2025","26-SEP-2025","FF","-","87.70","87.81","87.65","87.70","87.69","87.70","1,73,332","15,20,55,29,625.0000","15,20,55,29,625.0000","6,85,544","47,362"
"26-AUG-2025","26-SEP-2025","FF","-","87.80","87.94","87.77","87.81","87.81","87.81","3,25,310","28,58,85,90,057.5000","28,58,85,90,057.5000","6,38,182","2,02,677"
"25-AUG-2025","26-SEP-2025","FF","-","87.60","87.77","87.48","87.71","87.70","87.71","2,90,304","25,43,42,34,617.5000","25,43,42,34,617.5000","4,35,505","1,91,291"
"22-AUG-2025","26-SEP-2025","FF","-","87.41","87.70","87.41","87.66","87.66","87.66","97,058","8,50,38,40,965.0000","8,50,38,40,965.0000","2,44,214","71,435"
"21-AUG-2025","26-SEP-2025","FF","-","87.16","87.44","87.09","87.42","87.41","87.42","65,830","5,74,07,57,397.5000","5,74,07,57,397.5000","1,72,779","33,778"
"20-AUG-2025","26-SEP-2025","FF","-","87.30","87.35","87.15","87.23","87.23","87.23","47,614","4,15,39,46,152.5000","4,15,39,46,152.5000","1,39,001","30,868"
"19-AUG-2025","26-SEP-2025","FF","-","87.53","87.53","87.10","87.17","87.17","87.17","68,903","6,01,45,18,910.0000","6,01,45,18,910.0000","1,08,133","21,495"
"18-AUG-2025","26-SEP-2025","FF","-","87.63","87.64","87.50","87.55","87.53","87.55","22,438","1,96,43,79,090.0000","1,96,43,79,090.0000","86,638","7,785"
"14-AUG-2025","26-SEP-2025","FF","-","87.63","87.82","87.55","87.74","87.75","87.74","11,186","98,09,97,860.0000","98,09,97,860.0000","78,853","2,699"
"13-AUG-2025","26-SEP-2025","FF","-","87.82","87.89","87.58","87.64","87.63","87.64","20,230","1,77,52,28,107.5000","1,77,52,28,107.5000","76,154","5,506"
